ward_key,ward_id,ward_name,district,pred_baseline_trips,pred_gain_trips,delta_stops,delta_routes,investment_cost_units,roi_gain_per_cost
173,173,DEOLI,South,-0.42673179317840243,0.5324778764521616,75.88784833177624,497.5846942865267,5051.734791197043,0.0001054049546266624
174,174,CHHATARPUR,South,-0.33119177379762593,0.5493147645390561,84.19885483051857,591.9488081390562,6003.686936221081,9.149623729126714e-05
175,175,AYA NAGAR,South,0.13054551944605688,1.0764735136218353,237.37074684380042,1557.9471542761667,15816.842289605467,6.805868667788421e-05
176,176,BHATI,South,0.858679027273734,1.6405402035030572,316.88983756512533,2211.668426245657,22433.574100021695,7.312879330723309e-05
207,207,MADANPUR KHADAR,South East,-0.47394555077380646,0.4897807397058128,59.64838070265031,397.75425489893695,4037.19092969202,0.000121317209969818
207,207,MADANPUR KHADAR,South East,-0.47394555077380646,0.4897807397058128,59.64838070265031,397.75425489893695,4037.19092969202,0.000121317209969818
208,208,SARITA VIHAR,South East,-0.44164694056134,0.44864038982357535,45.16989448195259,335.53482634616796,3400.518157943632,0.00013193294932874175
208,208,SARITA VIHAR,South East,-0.44164694056134,0.44864038982357535,45.16989448195259,335.53482634616796,3400.518157943632,0.00013193294932874175
231,231,GHONDLI,East,-0.6591731827260952,0.2941777433595677,6.63166780796174,48.7345587812343,493.9772556203047,0.0005955289236739509
232,232,ANARKALI,East,-0.4970082553470733,0.13006644533578565,3.526851614502041,6.53461935793329,68.87304519383494,0.0018884956366869029
234,234,GANDHI NAGAR,Shahdara,-0.6034103587300964,0.1592265642940982,2.4244055538583,32.38385838137088,326.2629893675671,0.00048803134122646656
235,235,AZAD NAGAR,Shahdara,-0.6748398753300172,0.1663210557235948,4.611251284013954,23.084640720246494,235.4576584864789,0.0007063735229170274
236,236,RAGHUBAR PURA,Shahdara,-0.43902639720678316,0.014540418768600849,0.7623380634642775,0.0,0.7623380634642775,0.01907345237813742
237,237,SHAHDARA,Shahdara,-0.5891524334511063,0.09969583943887594,2.59977507827112,11.009851821742942,112.69829329570054,0.0008846259914194702
238,238,JHILMIL,Shahdara,-0.6278389193582669,0.17294245420196286,4.097778800635438,40.28900810735326,406.987859874168,0.00042493270992163763
239,239,VIVEK VIHAR,Shahdara,-0.40374145283072116,0.08538898165184061,0.0,45.75952505947393,457.5952505947393,0.00018660373231731194
240,240,DILSHAD COLONY,Shahdara,-0.2861557819242978,0.0,0.0,0.0,0.0,0.0
103,103,PUNJABI BAGH,West,-0.1262694219847535,0.0,0.0,0.0,0.0,0.0
96,96,NEW RANJIT NAGAR,West,-0.2808937173830692,0.09035770443501956,2.261712370864427,0.0,2.261712370864427,0.03995101479704681
97,97,KIRTI NAGAR,West,-0.27806428737879507,0.12784062276450783,9.35253894839704,20.21910679434356,211.54360689183264,0.0006043227901908259
98,98,MANSAROWER GARDEN,New Delhi,-0.43689811728171074,0.19706583934082494,4.018410643815013,43.32237535263882,437.24216417020324,0.00045070182038451197
122,122,HASTSAL,South West,-0.380853352882358,0.4596660653147753,57.81939337992684,417.07111730136705,4228.530566393597,0.00010870586320644802
71,71,SANGAM PARK,North West,0.07282491395873611,0.0,0.0,0.0,0.0,0.0
72,72,MODEL TOWN,Central,0.03355915731158355,0.06794042388393737,4.099080721294719,0.0,4.099080721294719,0.016574551341331827
69,69,KAMLA NAGAR,Central,-0.2400888396964792,0.05525481895825335,1.123037073287971,17.105409629544464,172.17713336873263,0.0003209184511139428
74,74,INDER LOK COLONY,Central,-0.2706030418063412,0.078950028709031,2.6774582645672873,19.7184984092312,199.86244235687928,0.0003950218349061345
76,76,DEPUTY GANJ,Central,-0.25572526904141135,0.03248931952735601,1.0495297657150335,0.0,1.0495297657150335,0.030956072479054755
77,77,KASHMERE GATE,Central,1.3377142007880027,0.0,0.0,0.0,0.0,0.0
78,78,MAJNU KA TILA,Central,0.11469489044434185,0.0,0.0,0.0,0.0,0.0
79,79,JAMA MASJID,Central,0.05969377402971059,0.0,0.0,0.0,0.0,0.0
114,114,TILAK NAGAR,West,-0.16318936945479004,0.061489442444018313,2.4851295239916182,0.0,2.4851295239916182,0.02474295276187896
115,115,MAJOR BHUPINDAR SINGH NAGAR,West,-0.586357944362573,0.24632899206762987,5.3246317216540335,31.733645656255245,322.66108828420647,0.0007634294961836081
116,116,VIKASPURI EAST,West,-0.3526631702698166,0.17906973533740977,4.886201370430334,61.59571562605516,620.8433576309819,0.0002884298158885307
126,126,NAWADA,West,0.6442926003220217,0.0,0.0,0.0,0.0,0.0
127,127,UTTAM NAGAR,South West,0.1633269118406888,0.0,0.0,0.0,0.0,0.0
